name,Age,selling_price,km_driven,fuel,seller_type,transmission,owner
Maruti 800 AC,16,60000,70000,Petrol,Individual,Manual,0
Maruti Wagon R LXI Minor,16,135000,50000,Petrol,Individual,Manual,0
Hyundai Verna 1.6 SX,11,600000,100000,Diesel,Individual,Manual,0
Datsun RediGO T Option,6,250000,46000,Petrol,Individual,Manual,0
Honda Amaze VX i-DTEC,9,450000,141000,Diesel,Individual,Manual,1
Maruti Alto LX BSIII,16,140000,125000,Petrol,Individual,Manual,0
Hyundai Xcent 1.2 Kappa S,7,550000,25000,Petrol,Individual,Manual,0
Tata Indigo Grand Petrol,9,240000,60000,Petrol,Individual,Manual,1
Hyundai Creta 1.6 VTVT S,8,850000,25000,Petrol,Individual,Manual,0
Maruti Celerio Green VXI,6,365000,78000,Other,Individual,Manual,0
Chevrolet Sail 1.2 Base,8,260000,35000,Petrol,Individual,Manual,0
Tata Indigo Grand Petrol,9,250000,100000,Petrol,Individual,Manual,0
Toyota Corolla Altis 1.8 VL CVT,5,1650000,25000,Petrol,Dealer,Automatic,0
Maruti 800 AC,16,60000,70000,Petrol,Individual,Manual,0
Maruti Wagon R LXI Minor,16,135000,50000,Petrol,Individual,Manual,0
Hyundai Verna 1.6 SX,11,600000,100000,Diesel,Individual,Manual,0
Datsun RediGO T Option,6,250000,46000,Petrol,Individual,Manual,0
Honda Amaze VX i-DTEC,9,450000,141000,Diesel,Individual,Manual,1
Maruti Alto LX BSIII,16,140000,125000,Petrol,Individual,Manual,0
Hyundai Xcent 1.2 Kappa S,7,550000,25000,Petrol,Individual,Manual,0
Tata Indigo Grand Petrol,9,240000,60000,Petrol,Individual,Manual,1
Hyundai Creta 1.6 VTVT S,8,850000,25000,Petrol,Individual,Manual,0
Maruti Celerio Green VXI,6,365000,78000,Other,Individual,Manual,0
Chevrolet Sail 1.2 Base,8,260000,35000,Petrol,Individual,Manual,0
Tata Indigo Grand Petrol,9,250000,100000,Petrol,Individual,Manual,0
Toyota Corolla Altis 1.8 VL CVT,5,1650000,25000,Petrol,Dealer,Automatic,0
Maruti Ciaz VXi Plus,8,585000,24000,Petrol,Dealer,Manual,0
Hyundai Venue SX Opt Diesel,4,1195000,5000,Diesel,Dealer,Manual,0
Chevrolet Enjoy TCDi LTZ 7 Seater,10,390000,33000,Diesel,Individual,Manual,1
Jaguar XF 2.2 Litre Luxury,9,1964999,28000,Diesel,Dealer,Automatic,0
Mercedes-Benz New C-Class 220 CDI AT,10,1425000,59000,Diesel,Dealer,Automatic,0
Maruti Vitara Brezza ZDi Plus AMT,5,975000,4500,Diesel,Dealer,Automatic,0
Audi Q5 2.0 TDI,12,1190000,175900,Diesel,Dealer,Automatic,0
Honda City V MT,5,930000,14500,Petrol,Dealer,Manual,0
Tata Tigor 1.2 Revotron XT,5,525000,15000,Petrol,Individual,Manual,0
Audi A6 2.0 TDI  Design Edition,10,1735000,50000,Diesel,Dealer,Automatic,0
Mercedes-Benz New C-Class C 220 CDI Avantgarde,11,1375000,33800,Diesel,Dealer,Automatic,1
Skoda Superb Ambition 2.0 TDI CR AT,12,450000,130400,Diesel,Dealer,Automatic,1
Toyota Corolla Altis G AT,7,900000,50000,Petrol,Individual,Automatic,0
Toyota Innova 2.5 G (Diesel) 7 Seater,8,1300000,80000,Diesel,Individual,Manual,0
Jeep Compass 1.4 Sport Plus BSIV,4,1400000,10000,Petrol,Individual,Manual,0
Mercedes-Benz E-Class E 200 CGI Elegance,13,850000,119000,Petrol,Dealer,Automatic,0
